hidden_level,hidden_fraction,split_seed,suite,prompt_count,sample_size_per_side,rejection_rate_alpha_0_05,fail_alpha_0_05,pvalue_mean,mmd_mean,aggregate_reject,adapter_dir,eval_dir,row_type
0,0.0,endpoint,wikipedia_en,25,250,0.34,False,0.20954,0.005809855783367148,False,,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40,endpoint_u40
0,0.0,endpoint,humaneval,20,200,0.13,False,0.39556,0.00840924599063931,False,,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40,endpoint_u40
0,0.0,endpoint,ultrachat,20,200,0.32,False,0.15907,0.010320636704698564,False,,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40,endpoint_u40
100,1.0,endpoint,wikipedia_en,25,250,1.0,True,0.0,0.06472014592570702,True,,artifacts/model_equality_section5/faithful_instruct_clean_poisoned_20260606_b64,endpoint_poisoned
100,1.0,endpoint,humaneval,20,200,0.61,True,0.08077999999999999,0.04554099521746952,True,,artifacts/model_equality_section5/faithful_instruct_clean_poisoned_20260606_b64,endpoint_poisoned
100,1.0,endpoint,ultrachat,20,200,1.0,True,1e-05,0.10055227177837057,True,,artifacts/model_equality_section5/faithful_instruct_clean_poisoned_20260606_b64,endpoint_poisoned
25,0.24615384615384617,0,wikipedia_en,6,60,0.1,False,0.29778,0.008128993680161432,False,outputs/targeted_ft/prompt_conceal_u40_s150_split000_hidden025_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split000/hidden025/hidden,split
25,0.24615384615384617,0,humaneval,5,50,0.06,False,0.47531000000000007,0.004353067146103172,False,outputs/targeted_ft/prompt_conceal_u40_s150_split000_hidden025_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split000/hidden025/hidden,split
25,0.24615384615384617,0,ultrachat,5,50,0.17,False,0.30543000000000003,0.013311556106563103,False,outputs/targeted_ft/prompt_conceal_u40_s150_split000_hidden025_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split000/hidden025/hidden,split
50,0.49230769230769234,0,wikipedia_en,12,120,0.25,False,0.19646999999999998,0.009893895549418037,False,outputs/targeted_ft/prompt_conceal_u40_s150_split000_hidden050_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split000/hidden050/hidden,split
50,0.49230769230769234,0,humaneval,10,100,0.02,False,0.47586000000000006,0.0019042465818155723,False,outputs/targeted_ft/prompt_conceal_u40_s150_split000_hidden050_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split000/hidden050/hidden,split
50,0.49230769230769234,0,ultrachat,10,100,0.42,False,0.19800000000000004,0.024941798590504143,False,outputs/targeted_ft/prompt_conceal_u40_s150_split000_hidden050_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split000/hidden050/hidden,split
75,0.7384615384615385,0,wikipedia_en,18,180,0.29,False,0.15926,0.00880586894016032,True,outputs/targeted_ft/prompt_conceal_u40_s150_split000_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split000/hidden075/hidden,split
75,0.7384615384615385,0,humaneval,15,150,0.04,False,0.42472999999999994,0.005344072400559706,True,outputs/targeted_ft/prompt_conceal_u40_s150_split000_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split000/hidden075/hidden,split
75,0.7384615384615385,0,ultrachat,15,150,0.58,True,0.08867000000000001,0.025519193949281788,True,outputs/targeted_ft/prompt_conceal_u40_s150_split000_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split000/hidden075/hidden,split
25,0.24615384615384617,1,wikipedia_en,6,60,0.12,False,0.30823999999999996,0.006806158794479405,True,outputs/targeted_ft/prompt_conceal_u40_s150_split001_hidden025_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split001/hidden025/hidden,split
25,0.24615384615384617,1,humaneval,5,50,0.07,False,0.44622999999999996,0.008833952933153004,True,outputs/targeted_ft/prompt_conceal_u40_s150_split001_hidden025_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split001/hidden025/hidden,split
25,0.24615384615384617,1,ultrachat,5,50,0.56,True,0.1395,0.036905153250112996,True,outputs/targeted_ft/prompt_conceal_u40_s150_split001_hidden025_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split001/hidden025/hidden,split
50,0.49230769230769234,1,wikipedia_en,12,120,0.27,False,0.21104000000000003,0.009573250263069183,True,outputs/targeted_ft/prompt_conceal_u40_s150_split001_hidden050_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split001/hidden050/hidden,split
50,0.49230769230769234,1,humaneval,10,100,0.04,False,0.47393,0.0030156819293781162,True,outputs/targeted_ft/prompt_conceal_u40_s150_split001_hidden050_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split001/hidden050/hidden,split
50,0.49230769230769234,1,ultrachat,10,100,0.68,True,0.064,0.025624266281999982,True,outputs/targeted_ft/prompt_conceal_u40_s150_split001_hidden050_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_u40_s150_seed0_9/evals/split001/hidden050/hidden,split
