concealed_level,concealed_fraction,split_seed,suite,prompt_count,sample_size_per_side,rejection_rate_alpha_0_05,fail_alpha_0_05,pvalue_mean,mmd_mean,aggregate_reject,eval_dir,row_type
0,0.0,anchor,wikipedia_en,25,250,0.34,False,0.20954,0.005809855783367148,False,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40,public_anchor
0,0.0,anchor,humaneval,20,200,0.13,False,0.39556,0.00840924599063931,False,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40,public_anchor
0,0.0,anchor,ultrachat,20,200,0.32,False,0.15907,0.010320636704698564,False,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40,public_anchor
25,0.25,0,wikipedia_en,6,60,0.06,False,0.37294999999999995,0.005823824513314354,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level025,split
25,0.25,0,humaneval,5,50,0.08,False,0.48968000000000006,0.005081374097491895,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level025,split
25,0.25,0,ultrachat,5,50,0.2,False,0.21821999999999997,0.008193316282893746,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level025,split
50,0.5,0,wikipedia_en,12,120,0.13,False,0.23218999999999998,0.009104118847276622,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level050,split
50,0.5,0,humaneval,10,100,0.15,False,0.44526000000000004,0.005324010002148774,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level050,split
50,0.5,0,ultrachat,10,100,0.36,False,0.12296999999999998,0.008097243956332004,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level050,split
75,0.75,0,wikipedia_en,18,180,0.2,False,0.18942,0.00856171137542757,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level075,split
75,0.75,0,humaneval,15,150,0.08,False,0.48355999999999993,0.0015170745605844642,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level075,split
75,0.75,0,ultrachat,15,150,0.62,True,0.062470000000000005,0.008918097228850461,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level075,split
100,1.0,0,wikipedia_en,25,250,0.4,False,0.14436000000000002,0.00844506903505129,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level100,split
100,1.0,0,humaneval,20,200,0.11,False,0.3950499999999999,0.008171778281907915,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level100,split
100,1.0,0,ultrachat,20,200,0.66,True,0.04519,0.01024460241469696,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split000/level100,split
25,0.25,1,wikipedia_en,6,60,0.09,False,0.3292,0.0071925424718228635,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level025,split
25,0.25,1,humaneval,5,50,0.08,False,0.45838000000000007,0.004733411835080047,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level025,split
25,0.25,1,ultrachat,5,50,0.31,False,0.17723999999999995,0.011339386475433384,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level025,split
50,0.5,1,wikipedia_en,12,120,0.25,False,0.21533999999999998,0.009609155649978022,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level050,split
50,0.5,1,humaneval,10,100,0.09,False,0.45030000000000003,0.005331314042935734,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level050,split
50,0.5,1,ultrachat,10,100,0.56,True,0.07443,0.010250670662967008,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level050,split
75,0.75,1,wikipedia_en,18,180,0.27,False,0.17490000000000003,0.008755680715038312,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level075,split
75,0.75,1,humaneval,15,150,0.04,False,0.43384999999999996,0.004643884242406689,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level075,split
75,0.75,1,ultrachat,15,150,0.49,False,0.10722000000000001,0.011954904596075129,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level075,split
100,1.0,1,wikipedia_en,25,250,0.46,False,0.12755999999999998,0.009102514318738791,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level100,split
100,1.0,1,humaneval,20,200,0.05,False,0.40995999999999994,0.006502092737459933,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level100,split
100,1.0,1,ultrachat,20,200,0.71,True,0.044340000000000004,0.011755222291691052,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split001/level100,split
25,0.25,2,wikipedia_en,6,60,0.15,False,0.22296999999999995,0.008076988110259498,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level025,split
25,0.25,2,humaneval,5,50,0.1,False,0.3963399999999999,0.012685233962666796,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level025,split
25,0.25,2,ultrachat,5,50,0.27,False,0.18448,0.010250585454391996,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level025,split
50,0.5,2,wikipedia_en,12,120,0.25,False,0.20680000000000004,0.00961474991326482,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level050,split
50,0.5,2,humaneval,10,100,0.09,False,0.43461000000000005,0.0063282274461223835,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level050,split
50,0.5,2,ultrachat,10,100,0.45,False,0.11896000000000001,0.011751971689889633,False,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level050,split
75,0.75,2,wikipedia_en,18,180,0.35,False,0.18432,0.008457004828748376,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level075,split
75,0.75,2,humaneval,15,150,0.06,False,0.46462000000000003,0.002210429411776367,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level075,split
75,0.75,2,ultrachat,15,150,0.56,True,0.07626,0.009982782349988208,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level075,split
100,1.0,2,wikipedia_en,25,250,0.42,False,0.12976,0.008863254756247513,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level100,split
100,1.0,2,humaneval,20,200,0.14,False,0.38571,0.010565794296224793,True,artifacts/model_equality_section5/concealed_probe_frontier_api_met_kl_s150_w20_h20_u40_seed0_9/evals/split002/level100,split
